Timestamp,1. What age range do you fall in?,Sex,How would you describe your level of physical health?,What level of education have you reached?,What is your household income?,Which category best describes your employment?,What Toronto district is your primary address located in?,"On average, what distance do you travel most days of the week?","On average, how long is your commute? (each way)",Which transportation option do you end up using most often?,Does your household have access to any of the following types of private motorized vehicles?,Do you support any of the following statements?,When you use Toronto's Multi-Use Trails do you mostly,Are you aware that the City of Toronto's Multi-Use Paths have a speed limit of 20 km/h?,Have you witnessed a collision or conflict on a trail between,Do you think more should be done to manage trail users who do not respect the 20 km/h speed limit?,"Currently, any kind of e-bike may use a multi-use path if they are propelled by pedaling only.  If any e-biker or other type of vehicle is being propelled by motor power, then it is considered a motor vehicle, and may be fined.",When you use Toronto's bicycle lanes do you mostly,"Currently, any kind of e-bike may use a bicycle lane, provided they are propelled by pedalling only.  If any e-bike is being propelled by motor power, then it is considered a motor vehicle and may be fined. ","Sidewalks are for pedestrians.  Cyclists and e-bikers should not ride or drive on sidewalks.  With regards to illegal use of bicycles and e-bikes on sidewalks, should the City.","Toronto Bylaws consider personal mobility devices (such as electric wheel chairs) to be pedestrians.  Historically, there has been little risk as electric wheelchairs available for purchase have only traveled at speeds which are close to walking speed.  More recently, personal mobility devices which resemble e-bikes and may travel at more than triple walking speed have become available.  In your opinion, should the City;"
4/12/13 9:56,18 to 34,Male,Good,University degree,Under $20K,Unemployed,"Central Toronto, York or East York",10 - 20 km,30 - 44 minutes,bicycle,No - I do not have access to a private motorized vehicle,"scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance","walk, walk with a stroller, young child, or pet, cycle",Yes,"a conflict relating to a dog(s), a conflict between an e-biker and a pedestrian","Yes - more signage, Yes - more educational programs ","Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a road bicycle, or a fixie","No changes are necessary to the existing bylaw, Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","increase signage, increase enforcement, increase education","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/12/13 9:57,65 years or more,Male,Good,University degree,$20K to $39K,Retired,Etobicoke,5 - 10 km,16 - 29 minutes,"private motor vehicle (car, truck, SUV, van, motorcycle, gas limited speed motorcycle or moped)","Yes - a ""pedal assist"" type e-bike","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged, E-bikes should require a license, E-bikes should be required to have insurance","walk, cycle, pedal a pedal assist type e-bike",Yes,"pedestrians and/or runners, a conflict between cyclists and pedestrians, a conflict between an e-biker and a pedestrian","Yes - more signage, Yes - more enforcement (ticketing), Yes - more educational programs ",The bylaw should be modified to allow the 'pedal assist bicycle' type of e-bikes ,"ride a folding, or recumbent","The bylaw should be modified to allow 'pedal assist' type e-bikes to pedal, but get a battery boost, The bylaw should be modified to allow all kinds of e-bikes to drive in bicycle lanes without pedalling, but there should be some restrictions (eg. width, weight, speed) , The bylaw should be modified to allow e-bikes to use bicycle lanes in suburban areas, but not in busy downtown bicycle lanes","maintain the existing programs for signage, education and enforcement, increase signage, increase education",Institute a speed limit for sidewalks
4/12/13 9:57,50 to 64 ,Female,Fairly good,,$100K+,Full Time,"Central Toronto, York or East York",20 -35 km,16 - 29 minutes,scooter type e-bike,Yes - a scooter style e-bike,"On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged",walk,Yes,"a conflict relating to a dog(s), a conflict between cyclists and pedestrians, a conflict between e-biker and a cyclist","Yes - more signage, Yes - more enforcement (ticketing), Yes - more educational programs ","The bylaw should be modified to allow any kind of e-bike, including scooter type e-bikes use the trail, Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone",drive a scooter type e-bike propelled by an electric motor,"The bylaw should be modified to allow e-bikes to drive in bicycle lanes, using their motors and not pedalling, without any restrictions set in place by the City. (eg. width, weight, speed), Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone",increase enforcement,"Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/12/13 9:59,18 to 34,Female,Very good,University degree,$60K to $79K,Full Time,"Central Toronto, York or East York",20 -35 km,45 minutes - 1 hour,bicycle,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged",cycle,Yes,a conflict between cyclists and pedestrians,"Yes - more signage, Yes - more enforcement (ticketing), Yes - more educational programs ",The bylaw should be modified to allow the 'pedal assist bicycle' type of e-bikes ,"ride a commuter, or cruiser style bicycle","The bylaw should be modified to allow 'pedal assist' type e-bikes to pedal, but get a battery boost, The bylaw should be modified to allow all kinds of e-bikes to drive in bicycle lanes without pedalling, but there should be some restrictions (eg. width, weight, speed) ","maintain the existing programs for signage, education and enforcement","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/12/13 10:00,35 to 49,Male,Very good,University degree,$100K+,Full Time,"Central Toronto, York or East York",5 - 10 km,15 minutes or less,scooter type e-bike,"Yes - a car, SUV, truck or van","Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged","walk with a stroller, young child, or pet",Yes,I am not aware of any conflicts on the trails,Yes - more enforcement (ticketing),No changes are necessary to the existing bylaw,drive a scooter type e-bike propelled by an electric motor,"The bylaw should be modified to allow e-bikes to drive in bicycle lanes, using their motors and not pedalling, without any restrictions set in place by the City. (eg. width, weight, speed)","maintain the existing programs for signage, education and enforcement, increase enforcement",Institute a speed limit for sidewalks
4/12/13 10:01,18 to 34,Male,Very good,University degree,$20K to $39K,Full Time,"Central Toronto, York or East York",Under 2 km,16 - 29 minutes,bicycle,No - I do not have access to a private motorized vehicle,"Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance",cycle,Yes,"a conflict between an e-biker and a pedestrian, a conflict between e-biker and a cyclist, a conflict between two e-bikers","Prohibit e-bikes, as they regularly travel faster than the 20 km/h speed limit","Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a road bicycle, or a fixie","Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","maintain the existing programs for signage, education and enforcement",Don't Know / Rather Not Answer
4/12/13 10:02,35 to 49,Male,Very good,College or trade school diploma,$60K to $79K,Full Time,"Central Toronto, York or East York",10 - 20 km,30 - 44 minutes,transit,"Yes - a car, SUV, truck or van","Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance","skate, cycle",Yes,"a conflict relating to an in-line skater , a conflict between cyclists and pedestrians, a conflict between an e-biker and a pedestrian, a conflict between e-biker and a cyclist",A campaign to raise awareness that the trails have many uses and courtesy is required.,"Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a commuter, or cruiser style bicycle","Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","increase signage, increase enforcement, increase education","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/12/13 10:02,18 to 34,Male,Very good,University degree,$60K to $79K,Full Time,"Central Toronto, York or East York",10 - 20 km,45 minutes - 1 hour,transit,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged, E-bikes should require a license, E-bikes should be required to have insurance, E-bikes should be allowed to carry a passenger","walk, cycle",Yes,"a conflict between an e-biker and a pedestrian, a conflict between e-biker and a cyclist",Yes - more enforcement (ticketing),No changes are necessary to the existing bylaw,"ride a commuter, or cruiser style bicycle",No changes are necessary to the existing bylaw,"increase signage, increase enforcement",Institute a speed limit for sidewalks
4/12/13 10:03,35 to 49,Female,Very good,University degree,$80K to $99K,Full Time,"Central Toronto, York or East York",5 - 10 km,15 minutes or less,bicycle,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance",cycle,Yes,a conflict between cyclists and pedestrians,No - the trails are fine as they are,"Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone",ride a hybrid bicycle (mountain/commuter),"No changes are necessary to the existing bylaw, Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","increase enforcement, increase education","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/12/13 10:06,35 to 49,Male,Excellent,Post graduate,$100K+,Full Time,"Central Toronto, York or East York",5 - 10 km,16 - 29 minutes,"private motor vehicle (car, truck, SUV, van, motorcycle, gas limited speed motorcycle or moped)","Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance","walk, cycle",Yes,"a conflict relating to an in-line skater , a conflict between cyclists and pedestrians, a conflict between two cyclists, a conflict between an e-biker and a pedestrian, a conflict between e-biker and a cyclist",Yes - more enforcement (ticketing),No changes are necessary to the existing bylaw,"ride a road bicycle, or a fixie",No changes are necessary to the existing bylaw,"increase enforcement, increase education","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/12/13 10:06,50 to 64 ,Male,Very good,University degree,$100K+,Self Employed,"Central Toronto, York or East York",5 - 10 km,I do not commute,transit,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance",cycle,Yes,I am not aware of any conflicts on the trails,No - the trails are fine as they are,No changes are necessary to the existing bylaw,"ride a commuter, or cruiser style bicycle","The bylaw should be modified to allow 'pedal assist' type e-bikes to pedal, but get a battery boost, The bylaw should be modified to allow e-bikes to use bicycle lanes in suburban areas, but not in busy downtown bicycle lanes",increase enforcement,Don't Know / Rather Not Answer
4/12/13 10:06,18 to 34,Male,Excellent,University degree,$20K to $39K,Full Time,"Central Toronto, York or East York",5 - 10 km,16 - 29 minutes,bicycle,No - I do not have access to a private motorized vehicle,"On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged",cycle,Yes,"a conflict relating to a dog(s), a conflict between an e-biker and a pedestrian, a conflict between e-biker and a cyclist","Yes - more signage, Yes - more enforcement (ticketing)",No changes are necessary to the existing bylaw,"ride a road bicycle, or a fixie",No changes are necessary to the existing bylaw,"increase signage, increase enforcement, increase education",Institute a speed limit for sidewalks
4/12/13 10:07,18 to 34,Female,Very good,Post graduate,$20K to $39K,Full Time,"Central Toronto, York or East York",Under 2 km,16 - 29 minutes,bicycle,"Yes - a car, SUV, truck or van","On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged",cycle,Yes,"pedestrians and/or runners, a conflict between cyclists and pedestrians, a conflict between two cyclists, a conflict between an e-biker and a pedestrian, a conflict between e-biker and a cyclist",Yes - more signage,"Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a commuter, or cruiser style bicycle",No changes are necessary to the existing bylaw,"maintain the existing programs for signage, education and enforcement","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/12/13 10:07,35 to 49,Male,Good,University degree,$100K+,Full Time,"Central Toronto, York or East York",Over 35 km,16 - 29 minutes,bicycle,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance","run, cycle",Yes,"a conflict between an e-biker and a pedestrian, a conflict between e-biker and a cyclist",Yes - more enforcement (ticketing),No changes are necessary to the existing bylaw,"ride a road bicycle, or a fixie",No changes are necessary to the existing bylaw,increase enforcement,"Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/12/13 10:08,18 to 34,Male,Very good,University degree,$80K to $99K,Full Time,"Central Toronto, York or East York",10 - 20 km,16 - 29 minutes,bicycle,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged, E-bikes should be allowed to carry a passenger",cycle,Yes,I am not aware of any conflicts on the trails,"Yes - more signage, Yes - more enforcement (ticketing)",The bylaw should be modified to allow the 'pedal assist bicycle' type of e-bikes ,"ride a commuter, or cruiser style bicycle","The bylaw should be modified to allow 'pedal assist' type e-bikes to pedal, but get a battery boost, The bylaw should be modified to allow all kinds of e-bikes to drive in bicycle lanes without pedalling, but there should be some restrictions (eg. width, weight, speed) ","maintain the existing programs for signage, education and enforcement, increase signage, increase enforcement","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/12/13 10:08,35 to 49,Male,Good,High school diploma ,$100K+,Full Time,hamilton,Under 2 km,16 - 29 minutes,taxi,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category",skate,Yes,a conflict between two cyclists,No - the trails are fine as they are,The bylaw should be modified to allow the 'pedal assist bicycle' type of e-bikes ,"ride a folding, or recumbent","The bylaw should be modified to allow 'pedal assist' type e-bikes to pedal, but get a battery boost",increase signage,"Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/12/13 10:11,35 to 49,Male,Good,University degree,$80K to $99K,Full Time,"Central Toronto, York or East York",20 -35 km,over 1 hour each way,bicycle,"Yes - a car, SUV, truck or van","Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged",cycle,Yes,"pedestrians and/or runners, a conflict relating to a dog(s), a conflict relating to an in-line skater , a conflict between cyclists and pedestrians, a conflict between two cyclists, I have not used trails recently. EBikes are a newer phenomenon and I don't feel my answer accurately reflects whether there have been conflicts with ebikes.",No - the trails are fine as they are,"Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a road bicycle, or a fixie","The bylaw should be modified to allow all kinds of e-bikes to drive in bicycle lanes without pedalling, but there should be some restrictions (eg. width, weight, speed) ","maintain the existing programs for signage, education and enforcement, increase education",Institute a speed limit for sidewalks
4/12/13 10:12,18 to 34,Female,Excellent,Post graduate,$20K to $39K,Student,"Central Toronto, York or East York",10 - 20 km,45 minutes - 1 hour,walking,No - I do not have access to a private motorized vehicle,"scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance","walk, run, cycle",Yes,"pedestrians and/or runners, a conflict between an e-biker and a pedestrian, a conflict between e-biker and a cyclist","Yes - more enforcement (ticketing), Yes - more educational programs ","No changes are necessary to the existing bylaw, Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a commuter, or cruiser style bicycle","The bylaw should not be changed, however, more enforcement is necessary. There are often e bikes and scooters riding in the bike lanes as well as on side walks and pedestrian only park walks.","increase enforcement, increase education","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/12/13 10:13,18 to 34,Male,Excellent,University degree,$60K to $79K,Full Time,"Central Toronto, York or East York",10 - 20 km,45 minutes - 1 hour,transit,No - I do not have access to a private motorized vehicle,"On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged",cycle,Yes,I am not aware of any conflicts on the trails,No - the trails are fine as they are,The bylaw should be modified to allow the 'pedal assist bicycle' type of e-bikes ,"ride a mountain, downhill, or BMX bicycle","The bylaw should be modified to allow 'pedal assist' type e-bikes to pedal, but get a battery boost","maintain the existing programs for signage, education and enforcement","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/12/13 10:14,18 to 34,Male,Very good,University degree,$60K to $79K,Full Time,"Central Toronto, York or East York",5 - 10 km,30 - 44 minutes,walking,No - I do not have access to a private motorized vehicle,"scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged, E-bikes should require a license","walk, run, cycle",Yes,I am not aware of any conflicts on the trails,No - the trails are fine as they are,No changes are necessary to the existing bylaw,"ride a road bicycle, or a fixie",No changes are necessary to the existing bylaw,"increase signage, increase enforcement, increase education","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/12/13 10:14,35 to 49,Female,Excellent,University degree,$60K to $79K,Full Time,"Central Toronto, York or East York",20 -35 km,30 - 44 minutes,transit,"Yes - a car, SUV, truck or van","Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged",cycle,Yes,I am not aware of any conflicts on the trails,"Yes - more signage, Yes - more enforcement (ticketing)",No changes are necessary to the existing bylaw,"ride a road bicycle, or a fixie",No changes are necessary to the existing bylaw,"increase signage, increase enforcement, increase education",Do nothing
4/12/13 10:15,50 to 64 ,Male,Very good,Post graduate,$100K+,Full Time,"Central Toronto, York or East York",10 - 20 km,30 - 44 minutes,bicycle,"Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes are a green transportation option which should be encouraged, E-bikes should require a license, E-bikes should be required to have insurance, E-bikes should be allowed to carry a passenger",cycle,Yes,"pedestrians and/or runners, a conflict relating to a dog(s), a conflict between cyclists and pedestrians, a conflict between an e-biker and a pedestrian, a conflict between e-biker and a cyclist",No - the trails are fine as they are,"No changes are necessary to the existing bylaw, Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a road bicycle, or a fixie","No changes are necessary to the existing bylaw, Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","maintain the existing programs for signage, education and enforcement, increase education",Don't Know / Rather Not Answer
4/12/13 10:15,35 to 49,Female,Good,University degree,$100K+,Self Employed,North York,20 -35 km,30 - 44 minutes,"private motor vehicle (car, truck, SUV, van, motorcycle, gas limited speed motorcycle or moped)","Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, E-bikes are a green transportation option which should be encouraged, E-bikes should require a license",cycle,Yes,"a conflict relating to a dog(s), a conflict relating to an in-line skater , a conflict between cyclists and pedestrians, a conflict between two cyclists, a conflict between an e-biker and a pedestrian","Yes - more signage, Yes - more educational programs ",The bylaw should be modified to allow the 'pedal assist bicycle' type of e-bikes ,"ride a mountain, downhill, or BMX bicycle","The bylaw should be modified to allow 'pedal assist' type e-bikes to pedal, but get a battery boost","increase enforcement, increase education","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/12/13 10:15,18 to 34,Male,,University degree,$80K to $99K,Full Time,"Central Toronto, York or East York",20 -35 km,30 - 44 minutes,"private motor vehicle (car, truck, SUV, van, motorcycle, gas limited speed motorcycle or moped)","Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, On scooter type e-bikes, the pedals are unnecessary, and should not be required, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, E-bikes are a green transportation option which should be encouraged, E-bikes should be allowed to carry a passenger",cycle,Yes,a conflict between cyclists and pedestrians,No - the trails are fine as they are,"The bylaw should be modified to allow the 'pedal assist bicycle' type of e-bikes , Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a commuter, or cruiser style bicycle","The bylaw should be modified to allow 'pedal assist' type e-bikes to pedal, but get a battery boost, The bylaw should be modified to allow all kinds of e-bikes to drive in bicycle lanes without pedalling, but there should be some restrictions (eg. width, weight, speed) ","maintain the existing programs for signage, education and enforcement",Institute a speed limit for sidewalks
4/12/13 10:15,35 to 49,Male,Excellent,Post graduate,$100K+,Full Time,"Central Toronto, York or East York",20 -35 km,45 minutes - 1 hour,bicycle,"Yes - a car, SUV, truck or van","Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, E-bikes should require a license, E-bikes should be required to have insurance",cycle,Yes,a conflict relating to a dog(s),No - the trails are fine as they are,"Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","ride a road bicycle, or a fixie","Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone","maintain the existing programs for signage, education and enforcement","Update the definition of a personal mobility device, so that they must travel at speeds close to walking speed."
4/12/13 10:16,65 years or more,Female,Very good,Post graduate,Under $20K,Retired,Etobicoke,20 -35 km,30 - 44 minutes,"private motor vehicle (car, truck, SUV, van, motorcycle, gas limited speed motorcycle or moped)","Yes - a car, SUV, truck or van","scooter style e-bikes are different than ""pedal assisted bicycle"" type e-bikes and should not be considered as one vehicle category, Most scooter type e-bikes are wider than a bicycle, Most scooter type e-bikes weigh more than an average bicycle, Most e-bikes are able to travel further distances than an average cyclist, of average fitness., Most e-bikes are able to sustain higher average speeds than an average cyclist, of average fitness, Most e-bikes are able to accelerate more quickly than an average cyclist, of average fitness, E-bikes should be required to have insurance",I very rarely use any of Toronto's Multi-Use Paths,Yes,I am not aware of any conflicts on the trails,No - the trails are fine as they are,"Motorized vehicles should generally not be allowed on the trail, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone",I do not use bicycle lanes,"The bylaw should be modified to allow 'pedal assist' type e-bikes to pedal, but get a battery boost, Motorized vehicles should generally not be allowed in bicycle lanes, but a special provision should be made for e-bike users who are medically unable to propel a conventional bicycle using muscular power alone",increase enforcement,Do nothing
